Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
360,H09,4,2187,4,6,J,8.03
361,A10,4,1631,4,7,A,7.26
362,B10,4,473,4,7,B,4.84
363,C10,4,2140,4,7,C,6.98
364,D10,4,28,4,7,D,6.68
365,E10,4,881,4,7,E,7.03
366,F10,4,1343,4,7,F,9.76
367,G10,4,1699,4,7,G,6.85
368,H10,4,261,4,7,H,7.05
369,A11,4,1723,4,7,I,8.18
370,B11,4,984,4,7,J,7.16
371,C11,4,2037,4,8,A,8.25
372,D11,4,1328,4,8,B,5.01
373,E11,4,1629,4,8,C,4.76
374,F11,4,1865,4,8,D,8.4
375,G11,4,1643,4,8,E,6.15
376,H11,4,1728,4,8,F,5.51
377,A12,4,1237,4,8,G,8.68
378,B12,4,1623,4,8,H,10.54
379,C12,4,209,4,8,I,9.26
380,D12,4,1031,4,8,J,8.7
381,E12,4,496,4,9,A,12.59
382,F12,4,494,4,9,B,9.13
383,G12,4,2155,4,9,C,10.84
384,H12,4,1162,4,9,D,4.37
385,A01,5,419,4,9,E,7.12
386,B01,5,190,4,9,F,6.83
387,C01,5,14,4,9,G,6.53
388,D01,5,983,4,9,H,8.24
389,E01,5,2200,4,9,I,9.64
390,F01,5,653,4,9,J,4.86
391,G01,5,27,4,10,A,6.47
392,H01,5,337,4,10,B,10.64
393,A02,5,679,4,10,C,6.57
394,B02,5,522,4,10,D,8.67
395,C02,5,1160,4,10,E,6.56
396,D02,5,212,4,10,F,5.86
397,E02,5,1030,4,10,G,9.08
398,F02,5,83,4,10,H,7.66
399,G02,5,1935,4,10,I,4.43
400,H02,5,107,4,10,J,9.62
401,A03,5,2089,5,1,A,5.87
402,B03,5,1521,5,1,B,7.41
403,C03,5,147,5,1,C,6.46
404,D03,5,1278,5,1,D,3.68
405,E03,5,1945,5,1,E,5.46
406,F03,5,2005,5,1,F,10.57
407,G03,5,1053,5,1,G,5.43
408,H03,5,1177,5,1,H,6.86
409,A04,5,331,5,1,I,7.94
410,B04,5,1620,5,1,J,8.22
411,C04,5,169,5,2,A,9.01
412,D04,5,2025,5,2,B,11.24
413,E04,5,1022,5,2,C,7.69
414,F04,5,1727,5,2,D,11.99
415,G04,5,487,5,2,E,12.02
416,H04,5,1036,5,2,F,13.67
417,A05,5,658,5,2,G,8.77
